task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Dataset Loading,2024-07-30T15:24:03,codecarbon,b83e1ad5-32a5-4e9a-aa8c-84998f4c6705,10.190080881118774,4.532888959438538e-05,4.448335663756516e-06,62.5,32.88004296745418,5.825808048248291,0.00017693634662363264,9.306396333985667e-05,1.6488860912781906e-05,0.0002864891708762712,Austria,AUT,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,16,11th Gen Intel(R) Core(TM) i9-11900K @ 3.50GHz,1,1 x NVIDIA GeForce RTX 3090,,,15.53548812866211,machine,N
Survival - Baseline Cox-PH Model,2024-07-30T15:24:13,codecarbon,b83e1ad5-32a5-4e9a-aa8c-84998f4c6705,9.820226669311523,4.362210845834551e-05,4.442116009510708e-06,62.5,32.74088008887877,5.825808048248291,0.00017050887147585552,8.930312699817478e-05,1.5889916925506496e-05,0.00027570191539953677,Austria,AUT,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,16,11th Gen Intel(R) Core(TM) i9-11900K @ 3.50GHz,1,1 x NVIDIA GeForce RTX 3090,,,15.53548812866211,machine,N
Survival - Baseline RSF model,2024-07-30T16:09:45,codecarbon,b83e1ad5-32a5-4e9a-aa8c-84998f4c6705,2731.7852742671967,0.012357598232411067,4.523641687990273e-06,62.5,34.59992051129398,5.825808048248291,0.04742676436487171,0.026255364337608,0.00442077880981989,0.0781029075122996,Austria,AUT,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,16,11th Gen Intel(R) Core(TM) i9-11900K @ 3.50GHz,1,1 x NVIDIA GeForce RTX 3090,,,15.53548812866211,machine,N
Survival - 2 layer fully connected network,2024-07-30T16:13:10,codecarbon,b83e1ad5-32a5-4e9a-aa8c-84998f4c6705,205.40654516220093,0.0009686731425738761,4.7158752344038905e-06,62.5,38.973011494031624,5.825808048248291,0.003566126123898561,0.0022237078900757545,0.00033240652510289903,0.0061222405390772144,Austria,AUT,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,16,11th Gen Intel(R) Core(TM) i9-11900K @ 3.50GHz,1,1 x NVIDIA GeForce RTX 3090,,,15.53548812866211,machine,N
Survival - 2 layer pathway-informed network,2024-07-30T16:19:44,codecarbon,b83e1ad5-32a5-4e9a-aa8c-84998f4c6705,394.29730343818665,0.0018541081831736188,4.702310833027909e-06,62.5,38.66498215805326,5.825808048248291,0.006845455360081458,0.0042348586656622,0.0006380828038604408,0.0117183968296041,Austria,AUT,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,16,11th Gen Intel(R) Core(TM) i9-11900K @ 3.50GHz,1,1 x NVIDIA GeForce RTX 3090,,,15.53548812866211,machine,N
Survival - 3 layer fully connected network,2024-07-30T16:21:44,codecarbon,b83e1ad5-32a5-4e9a-aa8c-84998f4c6705,120.27184009552002,0.0006073652393619421,5.049936608965557e-06,62.5,46.57045901269079,5.825808048248291,0.002088139375878706,0.0015559118002839156,0.0001946390145943144,0.00383869019075693,Austria,AUT,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,16,11th Gen Intel(R) Core(TM) i9-11900K @ 3.50GHz,1,1 x NVIDIA GeForce RTX 3090,,,15.53548812866211,machine,N
Survival - 3 layer pathway-informed network,2024-07-30T16:24:48,codecarbon,b83e1ad5-32a5-4e9a-aa8c-84998f4c6705,183.27819514274597,0.0009127817297446446,4.980307773524103e-06,62.5,44.99010326746967,5.825808048248291,0.003181928255491788,0.002290470721264093,0.00029659477723941244,0.005768993753995283,Austria,AUT,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,16,11th Gen Intel(R) Core(TM) i9-11900K @ 3.50GHz,1,1 x NVIDIA GeForce RTX 3090,,,15.53548812866211,machine,N
Survival - 4 layer fully connected network,2024-07-30T16:26:21,codecarbon,b83e1ad5-32a5-4e9a-aa8c-84998f4c6705,92.7725076675415,0.0,0.0,62.5,51.241459331527196,5.825808048248291,0.0,0.0,0.0,0.0,Austria,AUT,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,16,11th Gen Intel(R) Core(TM) i9-11900K @ 3.50GHz,1,1 x NVIDIA GeForce RTX 3090,,,15.53548812866211,machine,N
Survival - 4 layer pathway-informed network,2024-07-30T16:29:05,codecarbon,b83e1ad5-32a5-4e9a-aa8c-84998f4c6705,164.46356844902039,0.0008415341283513587,5.116844356918683e-06,62.5,48.09677935906054,5.825808048248291,0.002855282686650751,0.0021972625911419463,0.00026614699225420164,0.005318692270046901,Austria,AUT,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,16,11th Gen Intel(R) Core(TM) i9-11900K @ 3.50GHz,1,1 x NVIDIA GeForce RTX 3090,,,15.53548812866211,machine,N
Pathological - 2 layer fully connected network,2024-07-30T16:30:10,codecarbon,b83e1ad5-32a5-4e9a-aa8c-84998f4c6705,65.04212832450867,0.0003250947352879188,4.998222817473258e-06,62.5,45.397507352403736,5.825808048248291,0.0011292176238364704,0.0008202017672720441,0.00010525527668683952,0.002054674667795353,Austria,AUT,,,,Linux-5.15.153.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,16,11th Gen Intel(R) Core(TM) i9-11900K @ 3.50GHz,1,1 x NVIDIA GeForce RTX 3090,,,15.53548812866211,machine,N
