task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Dataset Loading,2024-08-04T08:28:21,codecarbon,dab2cc3a-e418-40bb-9fd0-edacca159dee,19.10859179496765,1.3268890710681998e-05,6.94403290400396e-07,22.5,9.883247587274218,2.890162467956543,0.00011942960619926452,-5.0265873546e-05,1.4698756195833577e-05,8.386248884909809e-05,Austria,AUT,,,,Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,8,Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,1,1 x NVIDIA GeForce GTX 1060 with Max-Q Design,,,7.707099914550781,machine,N
Survival - Baseline Cox-PH Model,2024-08-04T08:29:00,codecarbon,dab2cc3a-e418-40bb-9fd0-edacca159dee,39.12957739830017,4.356695066127006e-05,1.1134070370979602e-06,22.5,7.830034654685793e-05,2.890162467956543,0.0002445952489972115,-8.333339999975239e-10,3.075888957417684e-05,0.0002753533052373883,Austria,AUT,,,,Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,8,Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,1,1 x NVIDIA GeForce GTX 1060 with Max-Q Design,,,7.707099914550781,machine,N
Survival - Baseline RSF model,2024-08-04T11:09:44,codecarbon,dab2cc3a-e418-40bb-9fd0-edacca159dee,9643.948120117188,0.010761690994623235,1.1159010170157696e-06,22.5,2.59252988960846e-06,2.890162467956543,0.06027469433993101,6.944449999997436e-09,0.007741699687817779,0.06801640097219878,Austria,AUT,,,,Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,8,Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,1,1 x NVIDIA GeForce GTX 1060 with Max-Q Design,,,7.707099914550781,machine,N
Survival - 2 layer fully connected network,2024-08-04T11:17:05,codecarbon,dab2cc3a-e418-40bb-9fd0-edacca159dee,440.3743348121643,0.0006547755826471647,1.4868613179698496e-06,22.5,8.439924393885004,2.890162467956543,0.0027523624092340507,0.001032428325942,0.0003535439000021609,0.004138334635178195,Austria,AUT,,,,Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,8,Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,1,1 x NVIDIA GeForce GTX 1060 with Max-Q Design,,,7.707099914550781,machine,N
Survival - 2 layer pathway-informed network,2024-08-04T11:28:39,codecarbon,dab2cc3a-e418-40bb-9fd0-edacca159dee,693.9434578418732,0.0009647309672766915,1.3902163293970622e-06,22.5,6.241215212463854,2.890162467956543,0.004337147392332555,0.0012030659624520002,0.0005571117155387367,0.0060973250703232895,Austria,AUT,,,,Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,8,Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,1,1 x NVIDIA GeForce GTX 1060 with Max-Q Design,,,7.707099914550781,machine,N
Survival - 3 layer fully connected network,2024-08-04T11:32:30,codecarbon,dab2cc3a-e418-40bb-9fd0-edacca159dee,230.9888973236084,0.00038675504481494594,1.674346563174334e-06,22.5,12.706013758450352,2.890162467956543,0.0014436837807297737,0.000815257041094,0.00018544140577380838,0.0024443822275975885,Austria,AUT,,,,Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,8,Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,1,1 x NVIDIA GeForce GTX 1060 with Max-Q Design,,,7.707099914550781,machine,N
Survival - 3 layer pathway-informed network,2024-08-04T11:37:22,codecarbon,dab2cc3a-e418-40bb-9fd0-edacca159dee,292.00345396995544,0.00045575825543448835,1.560798484056506e-06,22.5,10.122429569431768,2.890162467956543,0.0018250253811478573,0.000821047601282,0.0002344256551457466,0.0028804986375756125,Austria,AUT,,,,Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,8,Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,1,1 x NVIDIA GeForce GTX 1060 with Max-Q Design,,,7.707099914550781,machine,N
Survival - 4 layer fully connected network,2024-08-04T11:40:11,codecarbon,dab2cc3a-e418-40bb-9fd0-edacca159dee,168.89169645309448,0.0,0.0,22.5,7.27428889982145,2.890162467956543,0.0,0.0,0.0,0.0,Austria,AUT,,,,Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,8,Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,1,1 x NVIDIA GeForce GTX 1060 with Max-Q Design,,,7.707099914550781,machine,N
Survival - 4 layer pathway-informed network,2024-08-04T11:43:57,codecarbon,dab2cc3a-e418-40bb-9fd0-edacca159dee,225.98862743377686,0.0004300955682547264,1.9031738065826332e-06,22.5,17.91248131559244,2.890162467956543,0.0014124334111809689,0.0011244433995539994,0.00018142764916774697,0.002718304459902718,Austria,AUT,,,,Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,8,Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,1,1 x NVIDIA GeForce GTX 1060 with Max-Q Design,,,7.707099914550781,machine,N
Pathological - 2 layer fully connected network,2024-08-04T11:45:50,codecarbon,dab2cc3a-e418-40bb-9fd0-edacca159dee,113.81074690818787,0.00016622592156915507,1.460550031557264e-06,22.5,7.84125932615156,2.890162467956543,0.0007113254621625015,0.0002478924205359997,9.136877130129159e-05,0.001050586653999791,Austria,AUT,,,,Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.11.4,2.5.0,8,Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,1,1 x NVIDIA GeForce GTX 1060 with Max-Q Design,,,7.707099914550781,machine,N
